timestamp,datetime,device_id,AerationFlow1,AerationFlow2,AerationPressure1,AerationPressure2
1758598238283,2025-09-23 11:30:38,ewon_gateway,51.4585,35.9888,23.2205,0.0
1758598359918,2025-09-23 11:32:39,ewon_gateway,49.6714,37.9639,23.8716,0.0
1758598478395,2025-09-23 11:34:38,ewon_gateway,55.6055,35.312,23.2205,0.0
1758598709297,2025-09-23 11:38:29,ewon_gateway,51.2798,38.4341,24.0886,0.0
1758598836494,2025-09-23 11:40:36,ewon_gateway,53.3203,31.1365,23.2205,0.0
1758598895518,2025-09-23 11:41:35,ewon_gateway,46.1074,42.2803,23.8716,0.0
1758598973735,2025-09-23 11:42:53,ewon_gateway,50.2642,37.1548,23.2205,0.0
1758599016369,2025-09-23 11:43:36,ewon_gateway,50.2642,41.0762,23.2205,0.0
1758599079424,2025-09-23 11:44:39,ewon_gateway,48.5244,39.1206,23.2205,0.0
1758599209490,2025-09-23 11:46:49,ewon_gateway,51.6841,37.6626,22.7864,0.0
1758599276550,2025-09-23 11:47:56,ewon_gateway,51.8252,37.2114,23.2205,0.0
1758599321275,2025-09-23 11:48:41,ewon_gateway,49.7188,38.6221,23.4375,0.0
1758599382604,2025-09-23 11:49:42,ewon_gateway,53.1792,33.1299,23.4375,0.0
1758599439841,2025-09-23 11:50:39,ewon_gateway,48.9473,41.5938,23.8716,0.0
1758599558253,2025-09-23 11:52:38,ewon_gateway,50.3579,37.8228,23.0034,0.0
1758599772463,2025-09-23 11:56:12,ewon_gateway,53.9976,36.873,23.4375,0.0
1758599790336,2025-09-23 11:56:30,ewon_gateway,48.7593,33.4121,23.8716,0.0
1758599805692,2025-09-23 11:56:45,ewon_gateway,42.0356,35.2271,23.8716,0.0
1758599865515,2025-09-23 11:57:45,ewon_gateway,48.4116,32.2837,23.4375,0.0
1758599931001,2025-09-23 11:58:51,ewon_gateway,46.1265,38.9512,23.4375,0.0
1758600101521,2025-09-23 12:01:41,ewon_gateway,47.189,34.4937,22.7864,0.0
1758600160855,2025-09-23 12:02:40,ewon_gateway,49.333,34.0044,23.2205,0.0
1758600231147,2025-09-23 12:03:51,ewon_gateway,53.2451,42.5059,23.2205,0.0
1758600515097,2025-09-23 12:08:35,ewon_gateway,48.2515,40.3994,23.4375,0.0
1758600645428,2025-09-23 12:10:45,ewon_gateway,48.8345,40.3994,23.4375,0.0
1758600698909,2025-09-23 12:11:38,ewon_gateway,43.2393,37.2959,23.2205,0.0
1758600761264,2025-09-23 12:12:41,ewon_gateway,48.5244,35.1519,23.4375,0.0
1758600830639,2025-09-23 12:13:50,ewon_gateway,47.6968,30.7603,23.8716,0.0
1758600898584,2025-09-23 12:14:58,ewon_gateway,51.6841,34.9546,23.2205,0.0
1758600946056,2025-09-23 12:15:46,ewon_gateway,48.1104,41.7158,23.2205,0.0
1758600993017,2025-09-23 12:16:33,ewon_gateway,54.3267,33.6753,23.0034,0.0
1758601131162,2025-09-23 12:18:51,ewon_gateway,48.167,34.6724,23.0034,0.0
1758601210136,2025-09-23 12:20:10,ewon_gateway,45.0542,37.7661,24.0886,0.0
1758601260620,2025-09-23 12:21:00,ewon_gateway,44.1797,38.2554,22.7864,0.0
1758601317280,2025-09-23 12:21:57,ewon_gateway,47.8379,33.1772,23.4375,0.0
1758601362926,2025-09-23 12:22:42,ewon_gateway,43.8882,35.5093,23.4375,0.0
1758601420977,2025-09-23 12:23:40,ewon_gateway,45.0542,34.0518,23.0034,0.0
1758601567182,2025-09-23 12:26:07,ewon_gateway,46.1074,34.7568,23.4375,0.0
1758601597507,2025-09-23 12:26:37,ewon_gateway,47.6777,30.6287,23.4375,0.0
1758601612060,2025-09-23 12:26:52,ewon_gateway,46.333,37.1455,23.2205,0.0
1758601652564,2025-09-23 12:27:32,ewon_gateway,45.3457,36.0171,23.2205,0.0
1758601719177,2025-09-23 12:28:39,ewon_gateway,49.0039,31.7666,23.8716,0.0
1758601790870,2025-09-23 12:29:50,ewon_gateway,45.1387,35.6597,23.2205,0.0
1758601853627,2025-09-23 12:30:53,ewon_gateway,48.9287,38.1426,23.0034,0.0
1758601917713,2025-09-23 12:31:57,ewon_gateway,46.0322,33.6851,23.4375,0.0
1758601969733,2025-09-23 12:32:49,ewon_gateway,46.1074,33.2993,22.7864,0.0
1758602119350,2025-09-23 12:35:19,ewon_gateway,52.6152,33.5723,23.0034,0.0
1758602200887,2025-09-23 12:36:40,ewon_gateway,50.7437,42.064,22.3525,0.0
1758602218851,2025-09-23 12:36:58,ewon_gateway,46.2861,37.5498,24.0886,0.0
1758602235969,2025-09-23 12:37:15,ewon_gateway,45.4683,35.6973,22.3525,0.0
1758602293900,2025-09-23 12:38:13,ewon_gateway,47.4897,44.1606,22.7864,0.0
1758602330813,2025-09-23 12:38:50,ewon_gateway,47.1138,31.7007,23.4375,0.0
1758602406201,2025-09-23 12:40:06,ewon_gateway,45.1108,35.0859,23.2205,0.0
1758602441763,2025-09-23 12:40:41,ewon_gateway,46.2954,35.876,23.0034,0.0
1758602501322,2025-09-23 12:41:41,ewon_gateway,46.9443,35.5938,23.2205,0.0
1758602616472,2025-09-23 12:43:36,ewon_gateway,47.6025,38.9604,23.8716,0.0
1758602695537,2025-09-23 12:44:55,ewon_gateway,49.7939,38.1519,23.4375,0.0
1758602752734,2025-09-23 12:45:52,ewon_gateway,46.8784,36.6846,23.4375,0.0
1758602811824,2025-09-23 12:46:51,ewon_gateway,48.2046,41.8662,23.0034,0.0
1758602861744,2025-09-23 12:47:41,ewon_gateway,46.5776,35.4526,23.0034,0.0
1758602929512,2025-09-23 12:48:49,ewon_gateway,56.3105,34.5781,23.0034,0.0
1758603117325,2025-09-23 12:51:57,ewon_gateway,48.8252,33.5249,23.2205,0.0
1758603281247,2025-09-23 12:54:41,ewon_gateway,48.2705,32.4434,23.4375,0.0
1758603457966,2025-09-23 12:57:37,ewon_gateway,47.2642,38.2739,23.2205,0.0
1758603586692,2025-09-23 12:59:46,ewon_gateway,45.0732,33.0645,23.0034,0.0
1758603653910,2025-09-23 13:00:53,ewon_gateway,47.772,35.895,22.3525,0.0
1758603713711,2025-09-23 13:01:53,ewon_gateway,42.186,34.4746,23.4375,0.0
1758603817447,2025-09-23 13:03:37,ewon_gateway,42.2896,39.8916,23.4375,0.0
1758603944764,2025-09-23 13:05:44,ewon_gateway,45.5337,38.9321,23.4375,0.0
1758604084139,2025-09-23 13:08:04,ewon_gateway,46.1826,41.5747,23.0034,0.0
1758604100272,2025-09-23 13:08:20,ewon_gateway,47.1606,35.1987,23.2205,0.0
1758604115129,2025-09-23 13:08:35,ewon_gateway,47.9316,34.7759,23.2205,0.0
1758604243111,2025-09-23 13:10:43,ewon_gateway,43.0698,35.9229,23.2205,0.0
1758604318928,2025-09-23 13:11:58,ewon_gateway,44.6499,36.7788,23.0034,0.0
1758604358535,2025-09-23 13:12:38,ewon_gateway,48.2705,35.1235,23.0034,0.0
1758604425105,2025-09-23 13:13:45,ewon_gateway,48.4492,39.4497,23.0034,0.0
1758604481516,2025-09-23 13:14:41,ewon_gateway,50.499,30.29,22.7864,0.0
1758604541896,2025-09-23 13:15:41,ewon_gateway,45.1011,27.6663,23.8716,0.0
1758604600453,2025-09-23 13:16:40,ewon_gateway,52.6904,29.4531,22.7864,0.0
1758604667558,2025-09-23 13:17:47,ewon_gateway,42.9478,36.8354,23.0034,0.0
1758604720797,2025-09-23 13:18:40,ewon_gateway,44.8755,35.5,23.0034,0.0
1758604795707,2025-09-23 13:19:55,ewon_gateway,43.7095,36.0356,23.8716,0.0
1758604842952,2025-09-23 13:20:42,ewon_gateway,47.9224,43.0044,23.0034,0.0
